record_key	sources	pmid	doi	title	decision	primary_reason	full_text_or_code_assessed	freeze_date
doi:10.12122/j.issn.1673-4254.2026.05.02	citation_snowball		10.12122/j.issn.1673-4254.2026.05.02	[Multi-omics integration deciphers immune-metabolic heterogeneity in colorectal cancer: a prognostic model and therapeutic strategies targeting ANGPTL4/FABP4/RBP7].	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.14341/ket12838	citation_snowball		10.14341/ket12838	Molecular Genetic Profile of Patients with Differentiated Thyroid Carcinoma Belonging to the Intermediate and High Postoperative Risk Groups for Recurrence	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.1530/erc-25-0515	citation_snowball		10.1530/erc-25-0515	Developing an epithelial signature for prognosis of papillary thyroid carcinoma	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.20945/2359-4292-2026-0058	citation_snowball		10.20945/2359-4292-2026-0058	MicroRNA expression signatures associated with metastatic progression in papillary thyroid carcinoma	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.21203/rs.3.rs-41157/v1	Semantic_Scholar_top100		10.21203/rs.3.rs-41157/v1	Development of A Three-Gene Signature Prediction Model for Lymph Node Metastasis in Papillary Thyroid Cancer	exclude	no_relevant_radioiodine_construct	no	2026-07-12
doi:10.21203/rs.3.rs-548056/v1	Europe_PMC		10.21203/rs.3.rs-548056/v1	Effect of Valproic Acid on miRNAs Affecting Histone Deacetylase in a Model of Anaplastic Thyroid Cancer	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.21203/rs.3.rs-7685041/v1	Europe_PMC		10.21203/rs.3.rs-7685041/v1	Mechanism of cancer-associated fibroblast-driven thyroid cancer dedifferentiation via the ZFP57-PKM2 axis-mediated lactate secretion and therapeutic intervention with Resveratrol​	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.21203/rs.3.rs-8501287/v1	Europe_PMC		10.21203/rs.3.rs-8501287/v1	MAPK pathway inhibitors enhance radioiodine sensitivity in anaplastic thyroid carcinoma through promoting NIS expression and ARF4-mediated NIS membrane transport	exclude	no_eligible_human_endpoint_linked_program_or_marker	no	2026-07-12
doi:10.21203/rs.3.rs-9248842/v1	Europe_PMC		10.21203/rs.3.rs-9248842/v1	C/EBPβ Drives Anaplastic Thyroid Cancer Dedifferentiation and Radioiodine Resistance via IL-6/JAK/STAT and EMT Activation	exclude	non_human_or_preclinical_only	no	2026-07-12
doi:10.2147/ijgm.s609960	citation_snowball		10.2147/ijgm.s609960	miR-1287-5p as a Biomarker for Predicting Lymph Node Metastasis in Gastric Cancer Patients	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.2478/fco-2024-0026	citation_snowball		10.2478/fco-2024-0026	The Role of Thyroid Disease and Other Biomarkers in Invasive Breast Cancer: A 3-year Retrospective Comparative Study	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.31557/apjcb.2026.11.2.547-557	citation_snowball		10.31557/apjcb.2026.11.2.547-557	A Single-Cell Immune Topography Identifies CAF-Driven Checkpoint Inhibitor Failure in EGFR-TKI-Resistant Lung Cancer	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
doi:10.3329/bjnm.v28i2.89165	citation_snowball		10.3329/bjnm.v28i2.89165	Hepatic Metastasis as an Unusual Manifestation of Papillary Thyroid Carcinoma: A Rare Case Report	exclude	no_transcriptomic_or_expression_measurement	no	2026-07-12
